Timestamp;cpu.wait_perc;predict
1473837573.0;11.9;0.0
1473837603.0;13.3;12.1203842163
1473837633.0;10.4;12.7274684906
1473837663.0;11.0;11.228717804
1473837693.0;13.3;11.6184368134
1473837723.0;13.3;12.7274684906
1473837753.0;13.1;12.7274684906
1473837783.0;14.8;12.6522636414
1473837813.0;13.8;13.1902656555
1473837843.0;10.4;12.9006118774
1473837873.0;10.5;11.228717804
1473837903.0;10.6;11.2968654633
1473837933.0;10.5;11.3637228012
1473837963.0;10.4;11.2968654633
1473837993.0;12.3;11.228717804
1473838023.0;14.6;12.3139724731
1473838053.0;15.2;13.1378211975
1473838083.0;15.1;13.2877559662
1473838113.0;14.5;13.2642745972
1473838143.0;14.7;13.1106243134
1473838173.0;14.8;13.1643638611
1473838203.0;13.4;13.1902656555
1473838233.0;11.6;12.7637634277
1473838263.0;12.3;11.9636096954
1473838293.0;10.6;12.3139724731
1473838323.0;10.8;11.3637228012
1473838353.0;10.4;11.4936027527
1473838383.0;10.3;11.228717804
1473838413.0;11.9;11.1592731476
1473838443.0;12.1;12.1203842163
1473838473.0;10.5;12.2193317413
1473838503.0;10.3;11.2968654633
1473838533.0;10.4;11.1592731476
1473838563.0;10.5;11.228717804
1473838593.0;10.5;11.2968654633
1473838623.0;11.7;11.2968654633
1473838653.0;12.5;12.0170040131
1473838683.0;13.0;12.4044475555
1473838713.0;10.7;12.6133174896
1473838743.0;10.7;11.4292993546
1473838773.0;10.4;11.4292993546
1473838803.0;10.5;11.228717804
1473838833.0;13.4;11.2968654633
1473838863.0;16.0;12.7637634277
1473838893.0;15.0;13.4561958313
1473838923.0;10.2;13.2402057648
1473838953.0;10.4;11.0885238647
1473838983.0;10.9;11.228717804
1473839013.0;10.8;11.5566444397
1473839043.0;13.7;11.4936027527
1473839073.0;14.3;12.8676147461
1473839103.0;10.8;13.0542068481
1473839133.0;10.8;11.4936027527
1473839163.0;10.5;11.4936027527
1473839193.0;12.4;11.2968654633
1473839223.0;10.3;12.3597221375
1473839253.0;13.9;11.1592731476
1473839283.0;15.5;12.9328289032
1473839313.0;14.4;13.3548412323
1473839343.0;10.8;13.0827579498
1473839373.0;10.5;11.4936027527
1473839403.0;10.6;11.2968654633
1473839433.0;10.7;11.3637228012
1473839463.0;14.5;11.4292993546
1473839493.0;15.8;13.1106243134
1473839523.0;14.1;13.4171466827
1473839553.0;10.2;12.9949836731
1473839583.0;10.5;11.0885238647
1473839613.0;10.6;11.2968654633
1473839643.0;10.3;11.3637228012
1473839673.0;14.7;11.1592731476
1473839703.0;15.2;13.1643638611
1473839733.0;14.9;13.2877559662
1473839763.0;10.6;13.2155418396
1473839793.0;10.6;11.3637228012
1473839823.0;10.5;11.3637228012
1473839853.0;10.5;11.2968654633
1473839883.0;14.3;11.2968654633
1473839913.0;12.7;13.0542068481
1473839943.0;10.6;12.490893364
1473839973.0;10.7;11.3637228012
1473840003.0;10.9;11.4292993546
1473840033.0;10.2;11.5566444397
1473840063.0;10.8;11.0885238647
1473840093.0;13.8;11.4936027527
1473840123.0;11.3;12.9006118774
1473840153.0;10.6;11.7964229584
1473840183.0;10.5;11.3637228012
1473840213.0;10.7;11.2968654633
1473840243.0;10.7;11.4292993546
1473840273.0;10.7;11.4292993546
1473840303.0;11.0;11.4292993546
1473840333.0;10.4;11.6184368134
1473840363.0;11.0;11.228717804
1473840393.0;10.7;11.6184368134
1473840423.0;10.5;11.4292993546
1473840453.0;10.5;11.2968654633
1473840483.0;11.2;11.2968654633
1473840513.0;11.3;11.7383117676
1473840543.0;10.4;11.7964229584
1473840573.0;10.8;11.228717804
1473840603.0;10.8;11.4936027527
1473840633.0;10.5;11.4936027527
1473840663.0;10.4;11.2968654633
1473840693.0;13.8;11.228717804
1473840723.0;11.4;12.9006118774
1473840753.0;10.5;11.8533325195
1473840783.0;10.7;11.2968654633
1473840813.0;10.4;11.4292993546
1473840843.0;10.4;11.228717804
1473840873.0;10.6;11.228717804
1473840903.0;12.4;11.3637228012
1473840933.0;15.5;12.3597221375
1473840963.0;16.0;13.3548412323
1473840993.0;15.3;13.4561958313
1473841023.0;15.1;13.3106708527
1473841053.0;15.0;13.2642745972
1473841083.0;10.6;13.2402057648
1473841113.0;12.2;11.3637228012
1473841143.0;15.0;12.2671804428
1473841173.0;15.8;13.2402057648
1473841203.0;15.4;13.4171466827
1473841233.0;10.8;13.3330287933
1473841263.0;10.4;11.4936027527
1473841293.0;10.3;11.228717804
1473841323.0;12.6;11.1592731476
1473841353.0;15.4;12.4481658936
1473841383.0;15.2;13.3330287933
1473841413.0;15.0;13.2877559662
1473841443.0;10.3;13.2402057648
1473841473.0;10.7;11.1592731476
1473841503.0;10.4;11.4292993546
1473841533.0;12.7;11.228717804
1473841563.0;15.1;12.490893364
1473841593.0;14.9;13.2642745972
1473841623.0;15.1;13.2155418396
1473841653.0;10.8;13.2642745972
1473841683.0;10.3;11.4936027527
1473841713.0;10.6;11.1592731476
