;name;monitoring;mini-mon;valeur;time;prediction
2016-05-10T22:13:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;60;5.22369013259
2016-05-10T22:13:29.000Z;net.out_packets_sec;monitoring;mini-mon;5.33333333333;61;5.69558510953
2016-05-10T22:13:44.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;62;4.17568749817
2016-05-10T22:13:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.6;63;4.95175675303
2016-05-10T22:14:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;64;5.22369013259
2016-05-10T22:14:29.000Z;net.out_packets_sec;monitoring;mini-mon;5.0;65;5.35903524772
2016-05-10T22:14:44.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;66;3.82061788662
2016-05-10T22:14:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;67;5.29141448804
2016-05-10T22:15:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.2;68;4.52983193073
2016-05-10T22:15:29.000Z;net.out_packets_sec;monitoring;mini-mon;4.4;69;4.74187450434
2016-05-10T22:15:44.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;70;4.10474759018
2016-05-10T22:15:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.06666666667;71;4.38828517918
2016-05-10T22:16:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.8;72;5.15586218136
2016-05-10T22:16:29.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;73;4.17568749817
2016-05-10T22:16:44.000Z;net.out_packets_sec;monitoring;mini-mon;5.0;74;5.35903524772
2016-05-10T22:16:59.000Z;net.out_packets_sec;monitoring;mini-mon;3.73333333333;75;4.03377067503
2016-05-10T22:17:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.8;76;5.15586218136
2016-05-10T22:17:29.000Z;net.out_packets_sec;monitoring;mini-mon;4.33333333333;77;4.67123065363
2016-05-10T22:17:44.000Z;net.out_packets_sec;monitoring;mini-mon;4.6;78;4.95175675303
2016-05-10T22:17:59.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;79;4.10474759018
2016-05-10T22:18:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;80;5.29141448804
2016-05-10T22:18:29.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;81;5.42655241163
2016-05-10T22:18:44.000Z;net.out_packets_sec;monitoring;mini-mon;3.66666666667;82;3.96275675272
2016-05-10T22:18:59.000Z;net.out_packets_sec;monitoring;mini-mon;5.2;83;5.56127595213
2016-05-10T22:19:14.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;84;4.10474759018
2016-05-10T22:19:29.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;85;5.22369013259
2016-05-10T22:19:44.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;86;5.22369013259
2016-05-10T22:19:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.26666666667;87;4.60054979576
2016-05-10T22:20:14.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;88;4.10474759018
2016-05-10T22:20:29.000Z;net.out_packets_sec;monitoring;mini-mon;4.6;89;4.95175675303
2016-05-10T22:20:44.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;90;4.10474759018
2016-05-10T22:20:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.53333333333;91;4.88305118429
2016-05-10T22:21:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.06666666667;92;4.38828517918
2016-05-10T22:21:29.000Z;net.out_packets_sec;monitoring;mini-mon;5.33333333333;93;5.69558510953
2016-05-10T22:21:44.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;94;4.246590399
2016-05-10T22:21:59.000Z;net.out_packets_sec;monitoring;mini-mon;3.46666666667;95;3.74950730237
2016-05-10T22:22:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.8;96;5.15586218136
2016-05-10T22:22:29.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;97;3.89170582325
2016-05-10T22:22:44.000Z;net.out_packets_sec;monitoring;mini-mon;4.66666666667;98;5.01989549158
2016-05-10T22:22:59.000Z;net.out_packets_sec;monitoring;mini-mon;3.26666666667;99;3.53724112409
2016-05-10T22:23:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;100;5.29141448804
2016-05-10T22:23:29.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;101;5.29141448804
2016-05-10T22:23:44.000Z;net.out_packets_sec;monitoring;mini-mon;4.0;102;4.31745629267
2016-05-10T22:23:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;103;5.29141448804
2016-05-10T22:24:14.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;104;4.10474759018
2016-05-10T22:24:29.000Z;net.out_packets_sec;monitoring;mini-mon;4.06666666667;105;4.38828517918
2016-05-10T22:24:44.000Z;net.out_packets_sec;monitoring;mini-mon;3.66666666667;106;3.96275675272
2016-05-10T22:24:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.6;107;4.95175675303
2016-05-10T22:25:14.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;108;4.17568749817
2016-05-10T22:25:29.000Z;net.out_packets_sec;monitoring;mini-mon;3.66666666667;109;3.96275675272
2016-05-10T22:25:44.000Z;net.out_packets_sec;monitoring;mini-mon;5.13333333333;110;5.49396597977
2016-05-10T22:25:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;111;5.29141448804
2016-05-10T22:26:14.000Z;net.out_packets_sec;monitoring;mini-mon;4.13333333333;112;4.45907705853
2016-05-10T22:26:29.000Z;net.out_packets_sec;monitoring;mini-mon;4.66666666667;113;5.01989549158
2016-05-10T22:26:44.000Z;net.out_packets_sec;monitoring;mini-mon;4.13333333333;114;4.45907705853
2016-05-10T22:26:59.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;115;5.22369013259
2016-05-10T22:27:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.8125;116;4.11805164183
2016-05-10T22:27:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;117;5.22369013259
2016-05-10T22:27:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;118;4.10474759018
2016-05-10T22:28:00.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;119;5.42655241163
2016-05-10T22:28:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;120;4.10474759018
2016-05-10T22:28:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;121;5.22369013259
2016-05-10T22:28:45.000Z;net.out_packets_sec;monitoring;mini-mon;5.33333333333;122;5.69558510953
2016-05-10T22:29:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.8;123;5.15586218136
2016-05-10T22:29:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.53333333333;124;3.82061788662
2016-05-10T22:29:30.000Z;net.out_packets_sec;monitoring;mini-mon;3.66666666667;125;3.96275675272
2016-05-10T22:29:45.000Z;net.out_packets_sec;monitoring;mini-mon;5.2;126;5.56127595213
2016-05-10T22:30:00.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;127;3.89170582325
2016-05-10T22:30:15.000Z;net.out_packets_sec;monitoring;mini-mon;4.66666666667;128;5.01989549158
2016-05-10T22:30:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.2;129;4.52983193073
2016-05-10T22:30:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;130;3.89170582325
2016-05-10T22:31:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.73333333333;131;5.08793063435
2016-05-10T22:31:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;132;4.246590399
2016-05-10T22:31:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;133;5.29141448804
2016-05-10T22:31:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;134;4.17568749817
2016-05-10T22:32:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.46666666667;135;4.8124813479
2016-05-10T22:32:15.000Z;net.out_packets_sec;monitoring;mini-mon;4.13333333333;136;4.45907705853
2016-05-10T22:32:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;137;5.29141448804
2016-05-10T22:32:45.000Z;net.out_packets_sec;monitoring;mini-mon;4.73333333333;138;5.08793063435
2016-05-10T22:33:00.000Z;net.out_packets_sec;monitoring;mini-mon;5.0;139;5.35903524772
2016-05-10T22:33:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;140;4.17568749817
2016-05-10T22:33:30.000Z;net.out_packets_sec;monitoring;mini-mon;5.33333333333;141;5.69558510953
2016-05-10T22:33:45.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;142;5.29141448804
2016-05-10T22:34:00.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;143;4.10474759018
2016-05-10T22:34:15.000Z;net.out_packets_sec;monitoring;mini-mon;4.73333333333;144;5.08793063435
2016-05-10T22:34:30.000Z;net.out_packets_sec;monitoring;mini-mon;4.73333333333;145;5.08793063435
2016-05-10T22:34:45.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;146;5.29141448804
2016-05-10T22:35:00.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;147;4.246590399
2016-05-10T22:35:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;148;3.89170582325
2016-05-10T22:35:30.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;149;5.42655241163
2016-05-10T22:35:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;150;4.246590399
2016-05-10T22:36:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;151;5.22369013259
2016-05-10T22:36:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.86666666667;152;4.17568749817
2016-05-10T22:36:30.000Z;net.out_packets_sec;monitoring;mini-mon;5.13333333333;153;5.49396597977
2016-05-10T22:36:45.000Z;net.out_packets_sec;monitoring;mini-mon;4.0;154;4.31745629267
2016-05-10T22:37:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.66666666667;155;5.01989549158
2016-05-10T22:37:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;156;4.10474759018
2016-05-10T22:37:30.000Z;net.out_packets_sec;monitoring;mini-mon;5.06666666667;157;5.42655241163
2016-05-10T22:37:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;158;4.10474759018
2016-05-10T22:38:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;159;5.29141448804
2016-05-10T22:38:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.73333333333;160;4.03377067503
2016-05-10T22:38:30.000Z;net.out_packets_sec;monitoring;mini-mon;3.8;161;4.10474759018
2016-05-10T22:38:45.000Z;net.out_packets_sec;monitoring;mini-mon;6.0;162;6.36293731826
2016-05-10T22:39:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.86666666667;163;5.22369013259
2016-05-10T22:39:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;164;3.89170582325
2016-05-10T22:39:30.000Z;net.out_packets_sec;monitoring;mini-mon;3.6;165;3.89170582325
2016-05-10T22:39:45.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;166;4.246590399
2016-05-10T22:40:00.000Z;net.out_packets_sec;monitoring;mini-mon;4.93333333333;167;5.29141448804
2016-05-10T22:40:15.000Z;net.out_packets_sec;monitoring;mini-mon;3.93333333333;168;4.246590399
