Series;Time;Value
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:49:43.000Z;7.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:49:58.000Z;6.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:50:13.000Z;8.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:50:28.000Z;8.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:50:43.000Z;7.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:50:58.000Z;7.333333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:51:13.000Z;8.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:51:28.000Z;6.933333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:51:43.000Z;7.333333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:51:58.000Z;8.533333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:52:13.000Z;7.133333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:52:28.000Z;7.133333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:52:43.000Z;8.866666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:52:58.000Z;7.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:53:13.000Z;10.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:53:28.000Z;7.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:53:43.000Z;8.333333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:53:58.000Z;8.266666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:54:13.000Z;8.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:54:28.000Z;8.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:54:43.000Z;7.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:54:58.000Z;7.866666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:55:13.000Z;6.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:55:28.000Z;10.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:55:43.000Z;7.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:55:58.000Z;11.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:56:13.000Z;6.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:56:28.000Z;8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:56:43.000Z;9.133333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:56:58.000Z;10.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:57:13.000Z;6.266666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:57:28.000Z;8.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:57:44.000Z;7.3125
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:57:59.000Z;8.133333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:58:14.000Z;7.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:58:29.000Z;8.266666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:58:44.000Z;7.333333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:58:59.000Z;8.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:59:14.000Z;6.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:59:29.000Z;8.933333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:59:44.000Z;6.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T11:59:59.000Z;7.866666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:00:14.000Z;6.933333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:00:29.000Z;9
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:00:44.000Z;7.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:00:59.000Z;8.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:01:14.000Z;7.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:01:29.000Z;7.866666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:01:44.000Z;6.533333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:01:59.000Z;7.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:02:14.000Z;7.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:02:29.000Z;8.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:02:44.000Z;7.266666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:02:59.000Z;7.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:03:14.000Z;8.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:03:29.000Z;8.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:03:44.000Z;7.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:03:59.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:04:14.000Z;7.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:04:29.000Z;9.533333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:04:44.000Z;6.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:04:59.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:05:14.000Z;8.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:05:29.000Z;10.133333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:05:44.000Z;9.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:05:59.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:06:14.000Z;7.333333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:06:29.000Z;9.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:06:44.000Z;8.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:06:59.000Z;8.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:07:14.000Z;7.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:07:29.000Z;7.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:07:44.000Z;7.266666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:07:59.000Z;8.333333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:08:14.000Z;5.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:08:29.000Z;8.333333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:08:44.000Z;7
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:08:59.000Z;8.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:09:14.000Z;7.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:09:29.000Z;8.533333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:09:44.000Z;7.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:09:59.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:10:14.000Z;7.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:10:29.000Z;8.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:10:44.000Z;7.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:10:59.000Z;8.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:11:14.000Z;8.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:11:29.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:11:44.000Z;7.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:11:59.000Z;8.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:12:14.000Z;7.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:12:29.000Z;8.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:12:44.000Z;7.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:12:59.000Z;7.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:13:14.000Z;8.533333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:13:29.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:13:44.000Z;6.866666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:13:59.000Z;8.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:14:14.000Z;7.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:14:29.000Z;9.333333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:14:44.000Z;6.933333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:14:59.000Z;8.266666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:15:14.000Z;7.133333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:15:29.000Z;8.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:15:44.000Z;6.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:15:59.000Z;9.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:16:14.000Z;6.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:16:29.000Z;8.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:16:44.000Z;6.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:16:59.000Z;8.133333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:17:14.000Z;8.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:17:29.000Z;10.133333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:17:45.000Z;5.9375
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:18:00.000Z;7.866666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:18:15.000Z;7.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:18:30.000Z;8.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:18:45.000Z;7.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:19:00.000Z;8.4
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:19:15.000Z;7.8
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:19:30.000Z;8.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:19:45.000Z;7.666666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:20:00.000Z;8.133333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:20:15.000Z;6.266666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:20:30.000Z;9.066666666666666
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:20:45.000Z;6.733333333333333
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:21:00.000Z;7.933333333333334
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:21:15.000Z;8.6
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:21:30.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:21:45.000Z;8.466666666666667
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:22:00.000Z;7.2
net.out_packets_sec.value(device=eth0,hostname=mini-mon,service=monitoring,);2016-05-19T12:22:15.000Z;7.4
