Unix_time;Value
1463650587.0;8.26666666667
1463650602.0;7.4
1463650617.0;8.26666666667
1463650632.0;6.6
1463650647.0;7.73333333333
1463650663.0;6.9375
1463650678.0;7.53333333333
1463650693.0;6.33333333333
1463650708.0;7.86666666667
1463650723.0;6.26666666667
1463650738.0;8.13333333333
1463650753.0;6.0
1463650768.0;8.93333333333
1463650783.0;7.06666666667
1463650798.0;9.2
1463650813.0;7.53333333333
1463650828.0;10.2666666667
1463650843.0;6.4
1463650858.0;7.86666666667
1463650873.0;6.26666666667
1463650888.0;8.93333333333
1463650903.0;6.53333333333
1463650918.0;8.26666666667
1463650933.0;7.46666666667
1463650948.0;7.86666666667
1463650963.0;7.86666666667
1463650978.0;9.06666666667
1463650993.0;6.4
1463651008.0;9.06666666667
1463651023.0;7.13333333333
1463651038.0;9.2
1463651053.0;8.26666666667
1463651068.0;8.26666666667
1463651083.0;8.06666666667
1463651098.0;8.86666666667
1463651113.0;5.93333333333
1463651128.0;8.0
1463651143.0;7.66666666667
1463651158.0;9.13333333333
1463651173.0;8.46666666667
1463651188.0;9.46666666667
1463651203.0;6.66666666667
1463651218.0;10.2666666667
1463651233.0;6.4
1463651248.0;7.86666666667
1463651263.0;7.2
1463651278.0;8.53333333333
1463651293.0;7.33333333333
1463651308.0;8.66666666667
1463651323.0;8.6
1463651338.0;7.4
1463651353.0;8.4
1463651368.0;7.26666666667
1463651383.0;7.4
1463651398.0;6.8
1463651413.0;8.2
1463651428.0;8.4
1463651443.0;7.6
1463651458.0;7.33333333333
1463651473.0;8.6
1463651488.0;6.93333333333
1463651503.0;7.33333333333
1463651518.0;8.53333333333
1463651533.0;7.13333333333
1463651548.0;7.13333333333
1463651563.0;8.86666666667
1463651578.0;7.66666666667
1463651593.0;10.2
1463651608.0;7.2
1463651623.0;8.33333333333
1463651638.0;8.26666666667
1463651653.0;8.4
1463651668.0;8.06666666667
1463651683.0;7.6
1463651698.0;7.86666666667
1463651713.0;6.6
1463651728.0;10.4
1463651743.0;7.66666666667
1463651758.0;11.0666666667
1463651773.0;6.73333333333
1463651788.0;8.0
1463651803.0;9.13333333333
1463651818.0;10.7333333333
1463651833.0;6.26666666667
1463651848.0;8.2
1463651864.0;7.3125
1463651879.0;8.13333333333
1463651894.0;7.66666666667
1463651909.0;8.26666666667
1463651924.0;7.33333333333
1463651939.0;8.4
1463651954.0;6.6
1463651969.0;8.93333333333
1463651984.0;6.06666666667
1463651999.0;7.86666666667
1463652014.0;6.93333333333
1463652029.0;9.0
1463652044.0;7.4
1463652059.0;8.73333333333
