,net.out_packets_sec,cpu.idle_perc,cpu.stolen_perc,cpu.system_perc,cpu.wait_perc,disk.inode_used_perc,disk.space_used_perc,host_alive_status,io.read_kbytes_sec,io.read_req_sec,io.read_time_sec,io.write_kbytes_sec,io.write_req_sec,io.write_time_sec,load.avg_15_min,load.avg_1_min,load.avg_5_min,mem.free_mb,mem.total_mb,mem.usable_perc,mem.usable_mb,net.in_bytes_sec,net.in_errors_sec,net.in_packets_dropped_sec,net.in_packets_sec,net.out_bytes_sec,net.out_errors_sec
2016-09-01T11:51:32.000Z,9.6,77.3,0.0,1.3,1.3,0.74,13.6,0.0,0.0,0.0,0.0,159.46666666666667,21.6,0.3333333333333333,1.75,1.62,1.7,308.0,16048.0,82.8,13290.0,5720.266666666666,0.0,0.0,10.4,737.6666666666666,0.0
2016-09-01T11:51:47.000Z,6.733333333333333,78.5,0.0,1.2000000000000002,0.4,0.74,13.6,0.0,0.0,0.0,0.0,127.2,14.466666666666667,0.13333333333333333,1.75,1.63,1.7,355.0,16048.0,83.1,13337.0,3877.9333333333334,0.0,0.0,7.066666666666666,561.6666666666666,0.0
2016-09-01T11:52:02.000Z,8.4,77.7,0.0,1.1,0.3,0.74,13.6,0.0,0.0,0.0,0.0,98.93333333333334,12.2,0.26666666666666666,1.75,1.63,1.7,269.0,16048.0,82.6,13251.0,5565.333333333333,0.0,0.0,9.133333333333333,665.8,0.0
2016-09-01T11:52:17.000Z,6.866666666666666,78.8,0.0,1.1,0.1,0.74,13.6,0.0,0.0,0.0,0.0,104.8,11.4,0.06666666666666667,1.75,1.64,1.69,318.0,16048.0,82.9,13300.0,3219.9333333333334,0.0,0.0,7.333333333333333,507.6666666666667,0.0
2016-09-01T11:52:32.000Z,8.066666666666666,77.5,0.0,1.1,1.1,0.74,13.6,0.0,0.0,0.0,0.0,125.06666666666666,15.8,0.8,1.74,1.5,1.66,287.0,16048.0,82.7,13269.0,5111.733333333334,0.0,0.0,8.866666666666667,604.0,0.0
2016-09-01T11:52:47.000Z,5.6,77.8,0.0,1.3,0.4,0.74,13.6,0.0,0.0,0.0,0.0,124.53333333333333,17.8,0.3333333333333333,1.74,1.6,1.68,271.0,16048.0,82.6,13254.0,3050.133333333333,0.0,0.0,6.133333333333334,415.53333333333336,0.0
2016-09-01T11:53:02.000Z,9.0,78.5,0.0,1.3,0.2,0.74,13.6,0.0,0.0,0.0,0.0,133.86666666666667,15.733333333333333,0.2,1.72,1.39,1.63,265.0,16048.0,82.5,13247.0,5278.466666666666,0.0,0.0,9.8,675.8,0.0
2016-09-01T11:53:17.000Z,6.266666666666667,78.9,0.0,1.2000000000000002,0.4,0.74,13.6,0.0,0.0,0.0,0.0,142.66666666666666,17.2,0.13333333333333333,1.76,1.99,1.74,348.0,16048.0,83.1,13330.0,3092.5333333333333,0.0,0.0,6.666666666666667,465.06666666666666,0.0
