Timestamp;load.avg_1_min;cpu.wait_perc;cpu.system_perc;mem.free_mb
1473180629.0;0.24;12.8;0.6;4272.0
1473180659.0;0.56;13.0;0.7;4272.0
1473180689.0;1.13;11.2;0.6;4271.0
1473180719.0;1.47;10.3;0.6;4273.0
1473180749.0;1.29;9.1;0.7;4272.0
1473180779.0;1.26;9.2;0.5;4272.0
1473180809.0;1.4;12.3;0.6;4272.0
1473180839.0;1.42;12.0;0.6;4273.0
1473180869.0;1.34;9.3;0.7;4271.0
1473180899.0;1.28;9.3;0.7;4273.0
1473180929.0;1.04;9.2;0.6;4272.0
1473180959.0;0.89;9.7;0.4;4273.0
1473180989.0;0.8;9.4;0.6;4272.0
1473181019.0;0.48;10.2;0.6;4272.0
1473181049.0;0.87;13.2;0.5;4272.0
1473181079.0;0.99;11.6;0.6;4272.0
1473181109.0;0.91;9.5;0.6;4272.0
1473181139.0;0.69;9.9;0.4;4271.0
1473181169.0;0.42;14.2;0.7;4269.0
1473181199.0;0.62;14.2;0.5;4271.0
1473181229.0;0.38;14.3;0.6;4271.0
1473181259.0;0.41;12.8;0.5;4271.0
1473181289.0;0.73;9.2;0.6;4271.0
1473181319.0;1.23;9.1;0.6;4271.0
1473181349.0;1.53;9.1;0.6;4272.0
1473181379.0;1.42;9.3;0.7;4272.0
1473181409.0;1.36;9.4;0.5;4271.0
1473181439.0;1.28;9.6;0.5;4269.0
1473181469.0;0.88;9.7;0.6;4271.0
1473181499.0;0.71;11.9;0.6;4270.0
1473181529.0;0.78;9.5;0.7;4272.0
1473181559.0;0.47;9.6;0.6;4271.0
1473181589.0;0.45;9.0;0.4;4270.0
1473181619.0;0.54;9.3;0.6;4271.0
1473181649.0;0.4;9.1;0.4;4272.0
1473181679.0;0.24;9.0;0.4;4271.0
1473181709.0;0.47;10.8;0.6;4272.0
1473181739.0;0.52;9.5;0.6;4271.0
1473181769.0;0.32;9.5;0.5;4272.0
1473181799.0;0.19;9.3;0.6;4272.0
1473181829.0;0.12;9.3;0.4;4272.0
1473181859.0;0.18;9.8;0.7;4273.0
1473181889.0;0.11;9.3;0.6;4272.0
1473181919.0;0.91;9.4;0.6;4272.0
1473181949.0;1.44;11.7;0.6;4272.0
1473181979.0;1.42;9.4;0.7;4272.0
1473182009.0;1.51;9.2;0.4;4272.0
1473182039.0;1.15;9.1;0.7;4272.0
1473182069.0;1.42;9.5;0.6;4270.0
1473182099.0;1.08;9.1;0.7;4272.0
1473182129.0;0.81;9.0;0.6;4271.0
1473182159.0;0.99;10.9;0.6;4272.0
1473182189.0;1.08;12.3;0.5;4271.0
1473182219.0;0.66;9.1;0.6;4270.0
1473182249.0;0.48;9.1;0.7;4271.0
1473182279.0;0.41;9.4;0.6;4271.0
1473182309.0;0.43;9.2;0.5;4270.0
1473182339.0;0.26;9.2;0.6;4271.0
1473182369.0;0.44;9.1;0.6;4268.0
1473182399.0;0.4;12.3;0.7;4271.0
1473182429.0;0.24;9.1;0.6;4271.0
1473182459.0;0.63;9.5;0.6;4270.0
1473182489.0;0.52;9.2;0.6;4271.0
1473182519.0;0.48;9.5;0.6;4272.0
1473182549.0;0.86;12.0;0.6;4271.0
1473182579.0;1.18;14.3;0.6;4272.0
1473182609.0;1.5;14.8;0.5;4271.0
1473182639.0;1.54;12.7;0.6;4271.0
1473182669.0;1.23;9.2;0.6;4272.0
1473182699.0;1.39;9.2;0.6;4271.0
1473182729.0;1.31;9.0;0.5;4271.0
1473182759.0;1.31;9.0;0.5;4271.0
1473182789.0;0.79;9.4;0.5;4271.0
1473182819.0;1.27;9.2;0.7;4271.0
1473182849.0;1.27;13.0;0.4;4272.0
1473182879.0;0.77;12.8;0.5;4272.0
1473182909.0;0.77;12.9;0.5;4271.0
1473182939.0;1.06;13.2;0.6;4271.0
1473182969.0;0.82;12.1;0.6;4271.0
1473182999.0;0.5;9.3;0.7;4269.0
1473183029.0;0.54;9.4;0.4;4271.0
1473183059.0;0.61;10.4;0.6;4272.0
1473183089.0;0.37;12.8;0.5;4271.0
1473183119.0;0.23;11.6;0.5;4271.0
1473183149.0;0.41;9.4;0.5;4272.0
1473183179.0;0.98;9.3;0.5;4271.0
1473183209.0;1.38;9.4;0.5;4272.0
1473183239.0;1.35;9.3;0.4;4271.0
1473183269.0;0.95;9.4;0.5;4271.0
1473183299.0;0.82;10.9;0.5;4269.0
1473183329.0;1.2;9.3;0.7;4272.0
1473183359.0;1.14;9.2;0.4;4271.0
1473183389.0;1.36;11.7;0.5;4270.0
1473183419.0;1.43;14.4;0.4;4270.0
1473183449.0;1.51;14.4;0.5;4270.0
1473183479.0;1.45;14.5;0.5;4271.0
1473183509.0;1.12;13.1;0.5;4271.0
1473183539.0;0.68;9.1;0.4;4269.0
1473183569.0;0.69;9.3;0.5;4270.0
1473183599.0;0.66;8.7;0.5;4271.0
1473183629.0;0.4;9.2;0.6;4270.0
1473183659.0;0.24;9.2;0.4;4270.0
1473183689.0;0.67;9.3;0.6;4268.0
1473183719.0;0.41;9.2;0.5;4270.0
1473183749.0;0.32;11.2;0.7;4271.0
1473183779.0;0.19;9.0;0.5;4270.0
1473183809.0;0.56;9.2;0.5;4270.0
1473183839.0;0.84;9.3;0.4;4270.0
1473183869.0;1.14;9.6;0.6;4271.0
1473183899.0;1.11;9.5;0.4;4271.0
1473183929.0;1.38;9.3;0.7;4269.0
1473183959.0;1.46;9.7;0.5;4271.0
1473183989.0;1.07;12.9;0.5;4271.0
1473184019.0;1.14;13.0;0.5;4271.0
1473184049.0;1.34;13.3;0.6;4272.0
1473184079.0;1.44;12.7;0.4;4270.0
1473184109.0;1.02;9.5;0.5;4270.0
1473184139.0;0.62;9.1;0.5;4270.0
1473184169.0;0.61;9.1;0.5;4270.0
1473184199.0;0.5;11.0;0.5;4270.0
1473184229.0;0.44;14.1;0.4;4268.0
1473184259.0;0.78;14.4;0.5;4271.0
1473184289.0;0.47;9.5;0.5;4270.0
1473184319.0;0.67;9.2;0.5;4270.0
1473184349.0;0.51;9.2;0.6;4270.0
1473184379.0;0.52;9.4;0.6;4270.0
1473184409.0;0.7;9.0;0.5;4270.0
1473184439.0;0.97;12.4;0.5;4270.0
1473184469.0;1.38;9.2;0.7;4269.0
1473184499.0;1.62;8.9;0.5;4271.0
1473184529.0;1.62;11.0;0.5;4271.0
1473184559.0;1.43;13.7;0.4;4270.0
1473184589.0;1.66;9.4;0.6;4270.0
1473184619.0;1.35;9.3;0.5;4271.0
1473184649.0;1.61;10.4;0.4;4271.0
1473184679.0;1.21;9.2;0.5;4270.0
1473184709.0;0.98;9.6;0.5;4271.0
1473184739.0;1.0;9.5;0.6;4270.0
1473184769.0;0.73;9.3;0.5;4270.0
1473184799.0;0.55;9.5;0.5;4270.0
1473184829.0;0.6;8.8;0.6;4270.0
1473184859.0;0.63;9.3;0.5;4268.0
1473184889.0;0.77;12.5;0.7;4270.0
1473184919.0;0.63;9.2;0.5;4270.0
1473184949.0;0.49;8.8;0.4;4270.0
1473184979.0;0.85;9.6;0.6;4271.0
1473185009.0;0.52;9.1;0.6;4271.0
1473185039.0;0.45;9.3;0.5;4270.0
1473185069.0;0.58;10.9;0.5;4269.0
1473185099.0;1.3;10.3;0.7;4268.0
1473185129.0;1.57;13.1;0.6;4269.0
1473185159.0;1.31;12.8;0.5;4267.0
1473185189.0;1.22;12.9;0.6;4269.0
1473185219.0;1.4;9.3;0.6;4270.0
1473185249.0;1.65;9.3;0.4;4269.0
1473185279.0;1.93;12.5;0.5;4268.0
1473185309.0;1.7;13.0;0.5;4269.0
1473185339.0;1.44;12.9;0.5;4268.0
1473185369.0;1.26;13.2;0.5;4269.0
1473185399.0;0.82;12.4;0.5;4269.0
1473185429.0;0.61;8.8;0.4;4268.0
1473185459.0;0.9;12.2;0.6;4269.0
1473185489.0;0.66;8.7;0.4;4269.0
1473185519.0;0.5;9.0;0.5;4267.0
1473185549.0;0.47;9.6;0.5;4270.0
1473185579.0;0.28;12.4;0.7;4268.0
1473185609.0;0.4;9.2;0.6;4269.0
1473185639.0;0.35;9.4;0.6;4269.0
1473185669.0;0.29;8.9;0.6;4270.0
1473185699.0;0.6;9.0;0.7;4269.0
1473185729.0;0.99;9.3;0.6;4269.0
1473185759.0;0.6;9.5;0.5;4270.0
1473185789.0;0.85;11.2;0.5;4268.0
1473185819.0;1.25;9.7;0.5;4269.0
1473185849.0;1.27;8.8;0.5;4269.0
1473185879.0;1.2;9.5;0.5;4270.0
1473185909.0;1.17;10.6;0.4;4269.0
1473185939.0;1.24;14.0;0.6;4270.0
1473185969.0;0.97;9.2;0.6;4269.0
1473185999.0;1.05;9.3;0.5;4269.0
1473186029.0;0.95;10.0;0.6;4270.0
1473186059.0;0.86;10.1;0.6;4268.0
1473186089.0;0.52;9.7;0.6;4266.0
1473186119.0;0.49;10.1;0.4;4269.0
1473186149.0;0.62;9.8;0.5;4267.0
1473186179.0;0.43;9.7;0.5;4269.0
1473186209.0;0.45;11.0;0.5;4268.0
1473186239.0;0.64;12.2;0.6;4267.0
1473186269.0;0.5;13.1;0.6;4268.0
1473186299.0;0.3;9.6;0.5;4268.0
1473186329.0;0.23;9.8;0.6;4268.0
1473186359.0;0.82;10.0;0.5;4268.0
1473186389.0;1.03;9.4;0.5;4268.0
1473186419.0;0.84;9.8;0.6;4268.0
1473186449.0;1.17;9.2;0.6;4267.0
1473186479.0;1.34;12.8;0.6;4267.0
1473186509.0;1.33;12.6;0.6;4268.0
1473186539.0;1.06;12.6;0.5;4268.0
1473186569.0;0.75;9.9;0.7;4268.0
1473186599.0;0.68;8.8;0.6;4268.0
1473186629.0;0.54;9.4;0.6;4268.0
1473186659.0;0.33;9.7;0.5;4268.0
1473186689.0;0.62;11.4;0.6;4268.0
1473186719.0;0.38;13.8;0.5;4266.0
1473186749.0;0.47;13.9;0.7;4269.0
